"filename", "language", "Kotlin", "Properties", "XML", "Gradle", "C++", "CMake", "HTML", "JSON", "Markdown", "YAML", "Swift", "JavaScript", "Ruby", "Dart", "WebAssembly Text Format", "comment", "blank", "total"
"i:\Dext\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"i:\Dext\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"i:\Dext\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"i:\Dext\linux\runner\main.cc", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"i:\Dext\linux\runner\my_application.cc", "C++", 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 29, 145
"i:\Dext\linux\runner\my_application.h", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"i:\Dext\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 3, 4, 51
"i:\Dext\macos\Podfile", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 1, 11, 45
"i:\Dext\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"i:\Dext\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"i:\Dext\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"i:\Dext\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 344
"i:\Dext\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"i:\Dext\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 10, 11, 105
"i:\Dext\web\assets\packages\fast_rsa\web\assets\rsa.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82632, 0, 8868, 91500
"i:\Dext\web\assets\packages\fast_rsa\web\assets\wasm_exec.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 478, 0, 0, 0, 36, 62, 576
"i:\Dext\web\assets\packages\fast_rsa\web\assets\worker.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 11, 88
"i:\Dext\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 15, 8, 116
"i:\Dext\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"i:\Dext\web\oauth_callback.html", "HTML", 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 141
"i:\Dext\windows\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 160
"i:\Dext\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"i:\Dext\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 54
"i:\Dext\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"i:\Dext\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"i:\Dext\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"i:\Dext\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"i:\Dext\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"i:\Dext\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"i:\Dext\windows\runner\resource.h", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"i:\Dext\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"i:\Dext\windows\runner\utils.h", "C++", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"i:\Dext\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"i:\Dext\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 100, 18, 487, 65, 638, 536, 222, 248, 214, 502, 93, 555, 66, 24837, 82632, 1404, 11742, 124359
