"filename", "language", "YAML", "Batch", "Properties", "C++", "Swift", "Kotlin", "XML", "Markdown", "JSON", "Gradle", "HTML", "CMake", "MS SQL", "Dart", "comment", "blank", "total"
"i:\Dext\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"i:\Dext\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"i:\Dext\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"i:\Dext\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"i:\Dext\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"i:\Dext\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"i:\Dext\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"i:\Dext\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"i:\Dext\lib\components\multi_select_actions.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 226, 10, 19, 255
"i:\Dext\lib\components\survey_actions.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 149, 0, 11, 160
"i:\Dext\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 303, 3, 24, 330
"i:\Dext\lib\models\captcha.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 1, 17, 138
"i:\Dext\lib\models\home_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 5, 16, 98
"i:\Dext\lib\models\project.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 4, 69
"i:\Dext\lib\models\question.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 1, 11, 150
"i:\Dext\lib\models\survey.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 4, 87
"i:\Dext\lib\models\survey_stats.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 5, 5, 72
"i:\Dext\lib\pages\create_survey_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 522, 1, 21, 544
"i:\Dext\lib\pages\edit_survey_content_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1199, 5, 60, 1264
"i:\Dext\lib\pages\edit_survey_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 775, 14, 44, 833
"i:\Dext\lib\pages\frame_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1020, 9, 52, 1081
"i:\Dext\lib\pages\home_history_content.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 1, 5, 152
"i:\Dext\lib\pages\home_main_content.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 2, 5, 124
"i:\Dext\lib\pages\home_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 3, 10, 151
"i:\Dext\lib\pages\home_settings_content.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 235, 3, 9, 247
"i:\Dext\lib\pages\login_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 536, 7, 37, 580
"i:\Dext\lib\pages\project_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 763, 19, 57, 839
"i:\Dext\lib\pages\project_surveys_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 320, 6, 23, 349
"i:\Dext\lib\pages\survey_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 884, 24, 65, 973
"i:\Dext\lib\pages\survey_preview_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 0, 4, 151
"i:\Dext\lib\services\api_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1596, 115, 277, 1988
"i:\Dext\lib\services\crypto_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 2, 7, 40
"i:\Dext\lib\theme\theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 4, 6, 84
"i:\Dext\lib\theme\zincx_theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 12, 12, 170
"i:\Dext\lib\widgets\app_layout.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 1, 3, 35
"i:\Dext\lib\widgets\line_chart.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 196, 0, 30, 226
"i:\Dext\lib\widgets\rotating_text.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 227, 0, 31, 258
"i:\Dext\lib\widgets\views_chart_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163, 5, 13, 181
"i:\Dext\lib\widgets\window_caption.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 5, 14, 122
"i:\Dext\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 10, 89
"i:\Dext\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 40
"i:\Dext\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"i:\Dext\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 6, 31
"i:\Dext\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"i:\Dext\linux\runner\main.cc", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"i:\Dext\linux\runner\my_application.h", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"i:\Dext\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 35
"i:\Dext\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"i:\Dext\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"i:\Dext\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"i:\Dext\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 1, 344
"i:\Dext\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"i:\Dext\pubspec.yaml", "YAML", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 10, 78
"i:\Dext\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 15, 5, 55
"i:\Dext\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"i:\Dext\windows\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 22, 160
"i:\Dext\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 12, 110
