"filename", "language", "Batch", "YAML", "JSON", "Swift", "XML", "C++", "CMake", "HTML", "Dart", "Kotlin", "Properties", "Markdown", "Gradle", "comment", "blank", "total"
"i:\Dext\lib\models\user.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 2, 6, 102
"i:\Dext\lib\pages\create_survey_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 522, 0, 0, 0, 0, 1, 21, 544
"i:\Dext\lib\pages\edit_survey_content_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 1148, 0, 0, 0, 0, 5, 62, 1215
"i:\Dext\lib\pages\edit_survey_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 775, 0, 0, 0, 0, 14, 44, 833
"i:\Dext\lib\pages\frame_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 990, 0, 0, 0, 0, 7, 55, 1052
"i:\Dext\lib\pages\home_history_content.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 1, 5, 152
"i:\Dext\lib\pages\home_main_content.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 2, 5, 124
"i:\Dext\lib\pages\home_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 4, 10, 160
"i:\Dext\lib\pages\home_settings_content.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 347, 0, 0, 0, 0, 6, 26, 379
"i:\Dext\lib\pages\login_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 594, 0, 0, 0, 0, 20, 37, 651
"i:\Dext\lib\pages\project_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 763, 0, 0, 0, 0, 19, 57, 839
"i:\Dext\lib\pages\project_surveys_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 320, 0, 0, 0, 0, 6, 23, 349
"i:\Dext\lib\pages\survey_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 883, 0, 0, 0, 0, 24, 65, 972
"i:\Dext\lib\pages\survey_preview_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 4, 151
"i:\Dext\lib\services\api_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 1684, 0, 0, 0, 0, 122, 290, 2096
"i:\Dext\lib\services\crypto_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 1, 6, 35
"i:\Dext\lib\theme\theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 4, 6, 97
"i:\Dext\lib\theme\zincx_theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 13, 13, 172
"i:\Dext\lib\widgets\app_layout.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 1, 3, 35
"i:\Dext\lib\widgets\line_chart.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 30, 226
"i:\Dext\lib\widgets\rotating_text.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 5, 41, 326
"i:\Dext\lib\widgets\views_chart_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 163, 0, 0, 0, 0, 5, 13, 181
"i:\Dext\lib\widgets\window_caption.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 5, 14, 122
"i:\Dext\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 10, 89
"i:\Dext\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 4, 5, 36
"i:\Dext\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"i:\Dext\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 6, 30
"i:\Dext\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"i:\Dext\linux\runner\main.cc", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"i:\Dext\linux\runner\my_application.h", "C++", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"i:\Dext\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 33
"i:\Dext\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"i:\Dext\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"i:\Dext\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"i:\Dext\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 344
"i:\Dext\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"i:\Dext\pubspec.yaml", "YAML", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 12, 87
